name,description,topics,languages,last_updated,watchers,forks,stars,branches,tags
dotnet/machinelearning,ML.NET is an open source and cross-platform machine learning framework for .NET.,"['machine-learning', 'algorithms', 'dotnet', 'ml']","['C#: 97.2%', 'C++: 1.3%', 'PowerShell: 0.8%', 'Shell: 0.5%', 'CMake: 0.1%', 'C: 0.1%']","Feb 6, 2022",600,1.7k,7.8k,29,27
dotnet/format,Home for the dotnet-format command,[],"['C#: 55.5%', 'PowerShell: 25.7%', 'Shell: 16.4%', 'CMake: 1.6%', 'Dockerfile: 0.6%', 'Batchfile: 0.2%']","Feb 3, 2022",36,113,1.3k,22,10
dotnet/msbuild,The Microsoft Build Engine (MSBuild) is the build platform for .NET and Visual Studio.,"['microsoft', 'visual-studio', 'build', 'msbuild', 'hacktoberfest']","['C#: 98.1%', 'XML: 1.6%', 'XSLT: 0.2%', 'PowerShell: 0.1%', 'Shell: 0.0%', 'Batchfile: 0.0%']","Feb 3, 2022",397,1.2k,4.7k,34,75
dotnet/diagnostics,This repository contains the source code for various .NET Core runtime diagnostic tools and documents.,[],"['C++: 69.2%', 'C#: 17.2%', 'C: 9.2%', 'PowerShell: 1.2%', 'CMake: 1.2%', 'Shell: 1.1%', '\n\n\n\nOther\n0.9%\n: Other']","Feb 5, 2022",265,262,926,4,24
dotnet/csharplang,The official repo for the design of the C# programming language,"['csharp', 'language-design']",['C#: 100.0%'],"Feb 4, 2022",678,874,8.4k,9,0
dotnet/Microsoft.Maui.Graphics,,"['xamarin', 'csharp', 'uwp', 'wpf', 'xamarin-forms', 'xamarin-ios', 'xamarin-android', 'skiasharp', 'xamarin-mac', 'hacktoberfest']","['C#: 99.0%', '\n\n\n\nOther\n1.0%\n: Other']","Jan 31, 2022",24,34,417,46,33
dotnet/Nerdbank.GitVersioning,"Stamp your assemblies, packages and more with a unique version generated from a single, simple version.json file and include git commit IDs for non-official builds.",[],"['C#: 97.4%', 'PowerShell: 1.8%', '\n\n\n\nOther\n0.8%\n: Other']","Jan 23, 2022",28,138,882,15,105
dotnet/source-build,A repository to track efforts to produce a source tarball of the .NET Core SDK and all its components,[],"['PowerShell: 56.7%', 'Shell: 39.6%', 'CMake: 3.6%', 'Batchfile: 0.1%']",,77,118,200,10,197
dotnet/interactive,".NET Interactive takes the power of .NET and embeds it into your interactive experiences. Share code, explore data, write, and learn across your apps in ways you couldn't before.","['data-science', 'csharp', 'jupyter', 'fsharp', 'powershell', 'interactive-programming']","['C#: 71.1%', 'TypeScript: 12.5%', 'F#: 7.6%', 'PowerShell: 5.3%', 'Shell: 2.8%', 'CMake: 0.3%', '\n\n\n\nOther\n0.4%\n: Other']","Feb 4, 2022",51,237,1.6k,7,12
dotnet/ResXResourceManager,Manage localization of all ResX-Based resources in one central place.,[],"['C#: 99.4%', '\n\n\n\nOther\n0.6%\n: Other']","Feb 5, 2022",37,139,869,3,80
dotnet/dotNext,Next generation API for .NET,"['reflection', 'csharp', 'async', 'dotnet', 'dotnetcore', 'raft', 'cluster', 'metaprogramming', 'concurrency', 'delegate', 'async-lock', 'raft-server', 'hyparview', 'raft-consensus-algorithm', 'raft-consensus', 'write-ahead-log', 'atomic-operation', 'fast-reflection', 'dotnext']",['C#: 100.0%'],"Feb 1, 2022",36,68,683,7,304
dotnet/source-build-reference-packages,,[],"['C#: 97.8%', 'PowerShell: 0.8%', 'Shell: 0.5%', 'TypeScript: 0.3%', 'HTML: 0.3%', 'JavaScript: 0.2%', '\n\n\n\nOther\n0.1%\n: Other']",,16,14,11,6,1
dotnet/templating,This repo contains the Template Engine which is used by dotnet new,"['dotnet', 'dotnet-template']","['C#: 93.7%', 'PowerShell: 3.7%', 'Shell: 2.4%', 'CMake: 0.2%', 'Batchfile: 0.0%', 'CSS: 0.0%']","Feb 4, 2022",87,306,1.2k,113,52
dotnet/docs-desktop,This repository contains .NET documentation related to Windows Forms (winforms) and Windows Presentation Foundation (WPF).,"['csharp', 'visual-basic', 'wpf', 'winforms']","['Rich Text Format: 49.0%', 'C#: 27.9%', 'Visual Basic .NET: 20.3%', 'C++: 2.7%', 'PowerShell: 0.1%', 'Makefile: 0.0%']",,22,82,84,19,0
dotnet/samples,Sample code referenced by the .NET documentation,"['csharp', 'fsharp', 'visual-basic', 'dotnet', 'dotnet-core']","['C#: 80.6%', 'Visual Basic .NET: 12.2%', 'Batchfile: 2.2%', 'C++: 1.4%', 'ASP.NET: 0.9%', 'HTML: 0.7%', '\n\n\n\nOther\n2.0%\n: Other']","Feb 4, 2022",368,3.6k,2k,37,130
dotnet/SignService,"Code Signing service and Client for Authenticode, NuGet, VSIX, and more.","['authenticode', 'hacktoberfest', 'code-signing']","['C#: 88.9%', 'HTML: 7.2%', 'PowerShell: 3.6%', '\n\n\n\nOther\n0.3%\n: Other']","Feb 5, 2022",22,55,258,9,15
dotnet/roslyn-analyzers,,[],"['C#: 96.3%', 'Visual Basic .NET: 1.7%', 'PowerShell: 1.2%', '\n\n\n\nOther\n0.8%\n: Other']","Feb 3, 2022",81,370,1.2k,13,57
dotnet/install-scripts,,[],"['C#: 38.1%', 'PowerShell: 37.0%', 'Shell: 22.7%', 'CMake: 2.1%', 'Batchfile: 0.1%']",,11,35,52,20,0
dotnet/arcade,Tools that provide common build infrastructure for multiple .NET Foundation projects.,[],"['C#: 88.5%', 'PowerShell: 5.0%', 'Shell: 2.8%', 'Python: 1.1%', 'Rich Text Format: 1.0%', 'Harbour: 0.9%', '\n\n\n\nOther\n0.7%\n: Other']","Feb 4, 2022",276,265,502,72,0
dotnet/Scaffolding,Code generators to speed up development.,[],"['C#: 54.5%', 'HTML: 30.0%', 'PowerShell: 6.8%', 'Shell: 4.4%', 'Rich Text Format: 3.7%', 'CMake: 0.4%', '\n\n\n\nOther\n0.2%\n: Other']","Feb 5, 2022",89,188,483,40,42
dotnet/razor-tooling,"Tooling experience for Razor ASP.NET Core apps in Visual Studio, Visual Studio for Mac, and VS Code.","['aspnet', 'hacktoberfest']","['C#: 84.7%', 'TypeScript: 6.6%', 'HTML: 4.8%', 'PowerShell: 2.3%', 'Shell: 1.4%', 'CMake: 0.1%', '\n\n\n\nOther\n0.1%\n: Other']","Dec 17, 2021",34,107,200,90,81
dotnet/project-system,The .NET Project System for Visual Studio,"['visual-studio', 'csharp', 'fsharp', 'visual-basic', 'cps', 'csproj', 'vbproj', 'fsproj']","['C#: 99.7%', '\n\n\n\nOther\n0.3%\n: Other']",,109,320,769,23,23
dotnet/dotnet-docker,Docker images for .NET and the .NET Tools.,[],"['Dockerfile: 53.5%', 'C#: 37.6%', 'PowerShell: 4.6%', 'Shell: 4.3%']","Feb 3, 2022",205,1.6k,3.2k,7,0
dotnet/versions,This repo contains information about the various component versions that ship with .NET Core.,[],"['C#: 96.3%', 'Batchfile: 3.4%', 'ASP.NET: 0.3%']","Dec 13, 2016",32,137,117,9,2
dotnet/arcade-validation,Testing and validation scenarios for https://github.com/dotnet/arcade,[],"['PowerShell: 51.3%', 'Shell: 28.6%', 'C#: 17.1%', 'CMake: 2.9%', 'Batchfile: 0.1%']",,14,22,10,10,0
dotnet/windowsdesktop,,[],"['PowerShell: 41.7%', 'C#: 28.3%', 'Shell: 27.2%', 'CMake: 2.7%', 'Batchfile: 0.1%']","Feb 5, 2022",38,34,80,16,35
dotnet/crank,Benchmarking infrastructure for applications,[],"['C#: 76.7%', 'PowerShell: 13.5%', 'Shell: 8.6%', 'CMake: 0.8%', 'Dockerfile: 0.2%', 'JavaScript: 0.2%']","Feb 5, 2022",33,54,504,4,0
dotnet/Comet,Comet is an MVU UIToolkit written in C#,[],"['C#: 98.9%', '\n\n\n\nOther\n1.1%\n: Other']","Feb 4, 2022",63,88,1.1k,26,1
dotnet/wpf,WPF is a .NET Core UI framework for building Windows desktop applications.,[],"['C#: 80.7%', 'C++: 12.8%', 'C: 5.2%', 'Smalltalk: 0.4%', 'PowerShell: 0.2%', 'Roff: 0.2%', '\n\n\n\nOther\n0.5%\n: Other']","Feb 4, 2022",268,827,5.6k,148,80
dotnet/SqlClient,Microsoft.Data.SqlClient provides database connectivity to SQL Server for .NET applications.,[],"['C#: 80.7%', 'TSQL: 15.8%', '1C Enterprise: 3.3%', 'Batchfile: 0.2%', 'PowerShell: 0.0%', 'Shell: 0.0%']","Feb 3, 2022",57,149,530,8,46
dotnet/linker,,[],"['C#: 92.7%', 'PowerShell: 4.2%', 'Shell: 2.8%', '\n\n\n\nOther\n0.3%\n: Other']",,65,112,315,21,8
dotnet/arcade-services,Arcade Engineering Services,[],"['C#: 85.2%', 'PowerShell: 5.7%', 'TypeScript: 5.5%', 'Shell: 2.1%', 'HTML: 1.0%', 'CMake: 0.2%', '\n\n\n\nOther\n0.3%\n: Other']",,19,52,32,23,1
dotnet/emsdk,Emscripten SDK,[],"['PowerShell: 32.3%', 'Python: 29.7%', 'Shell: 22.7%', 'Starlark: 11.5%', 'CMake: 2.0%', 'Dockerfile: 1.0%', '\n\n\n\nOther\n0.8%\n: Other']",,1,441,2,4,0
dotnet/AspNetCore.Docs,Documentation for ASP.NET Core,"['docs', 'aspnetcore', 'aspnet', 'asp', 'aspnet-core']","['C#: 58.6%', 'HTML: 32.1%', 'CSS: 4.6%', 'JavaScript: 3.4%', 'TypeScript: 0.6%', 'Rich Text Format: 0.4%', '\n\n\n\nOther\n0.3%\n: Other']","Feb 4, 2022",707,23.6k,10.1k,11,40
dotnet/AspNetCore.Docs.Samples,,[],[],,5,0,0,1,0
dotnet/orleans,Orleans is a cross-platform framework for building distributed applications with .NET,"['distributed-systems', 'reactive', 'actor-model', 'scalability', 'concurrency', 'cloud-computing', 'distributed-actors', 'orleans']","['C#: 99.0%', 'PLpgSQL: 0.4%', 'TSQL: 0.3%', 'PLSQL: 0.2%', 'PowerShell: 0.1%', 'Shell: 0.0%']","Feb 4, 2022",525,1.8k,8.2k,5,133
dotnet/roslyn-tools,Tools used in Roslyn based repos,[],"['C#: 68.9%', 'PowerShell: 18.4%', 'Shell: 11.2%', 'CMake: 1.1%', '\n\n\n\nOther\n0.4%\n: Other']",,31,67,75,7,0
dotnet/csharpstandard,"Working space for ECMA-TC49-TG2, the C# standard committee.",[],"['C#: 97.8%', 'Shell: 2.2%']",,29,31,442,24,0
dotnet/vscode-dotnet-pack,".NET Extension Pack for VSCode. The best of C#, F#, and .NET Interactive.",[],"['TypeScript: 78.3%', 'SCSS: 14.3%', 'JavaScript: 7.2%', 'Batchfile: 0.2%']",,6,6,16,4,1
dotnet/EntityFramework.Docs,Documentation for Entity Framework Core and Entity Framework 6,"['documentation', 'orm', 'entity-framework', 'entity-framework-core', 'entity-framework-6']",['PowerShell: 100.0%'],"Feb 3, 2022",128,1.6k,1.1k,9,0
dotnet/dotnet-buildtools-prereqs-docker,Used to maintain the Docker images hosted at the mcr.microsoft.com/dotnet-buildtools/prereqs repository,[],"['Dockerfile: 78.9%', 'Shell: 14.7%', 'PowerShell: 6.4%']",,46,71,38,9,0
dotnet/docker-tools,This is a repo to house some common tools for our various docker repos.,[],"['C#: 97.7%', 'Shell: 1.3%', '\n\n\n\nOther\n1.0%\n: Other']",,19,26,68,1,0
dotnet/extensions,".NET APIs for commonly used programming patterns and utilities, such as dependency injection, logging, and configuration.",['aspnet-product'],"['C#: 54.7%', 'PowerShell: 25.8%', 'Shell: 17.8%', 'CMake: 1.5%', 'Batchfile: 0.2%']","Dec 14, 2021",213,684,2.2k,22,111
dotnet/blazor-samples,,[],"['HTML: 77.6%', 'C#: 17.8%', 'CSS: 4.1%', 'JavaScript: 0.5%']",,5,1,0,1,0
dotnet/xliff-tasks,MSBuild tasks and targets which allow the localization of string resources using xliff,[],"['PowerShell: 39.3%', 'C#: 31.7%', 'Shell: 26.2%', 'CMake: 2.6%', 'Batchfile: 0.2%']",,31,27,25,3,0
dotnet/msquic,,[],"['PowerShell: 70.0%', 'Shell: 29.7%', 'Batchfile: 0.3%']",,12,7,12,3,0
dotnet/tye,"Tye is a tool that makes developing, testing, and deploying microservices and distributed applications easier. Project Tye includes a local orchestrator to make developing microservices easier and the ability to deploy microservices to Kubernetes with minimal configuration.",[],"['C#: 80.5%', 'PowerShell: 10.1%', 'Shell: 6.0%', 'HTML: 1.8%', 'CSS: 0.7%', 'CMake: 0.6%', '\n\n\n\nOther\n0.3%\n: Other']","Feb 4, 2022",185,433,4.3k,20,10
dotnet/symreader-portable,"Reader of Portable PDBs format that implements DiaSymReader interfaces (ISymUnmanagedReader, ISymUnmanagedBinder, etc.).",[],"['C#: 63.1%', 'PowerShell: 21.0%', 'Shell: 13.9%', 'CMake: 1.4%', '\n\n\n\nOther\n0.6%\n: Other']","Jun 11, 2018",30,27,63,2,7
dotnet/try-convert,Helping .NET developers port their projects to .NET Core!,"['csharp', 'msbuild', 'dotnet', 'dotnetcore', 'wpf', 'winforms']","['C#: 49.2%', 'PowerShell: 28.6%', 'Shell: 19.2%', 'CMake: 1.8%', 'F#: 1.0%', 'Visual Basic .NET: 0.1%', 'Batchfile: 0.1%']","Jan 25, 2022",45,111,884,3,22
dotnet/NuGet.BuildTasks,The build tasks used to pick up package content from project.lock.json.,[],"['PowerShell: 42.2%', 'C#: 29.6%', 'Shell: 25.5%', 'CMake: 2.6%', 'Batchfile: 0.1%']","Jun 27, 2016",43,54,33,9,3
dotnet/symreader,Managed definitions for COM interfaces exposed by DiaSymReader APIs,[],"['C#: 54.9%', 'PowerShell: 27.0%', 'Shell: 16.4%', 'CMake: 1.6%', 'Batchfile: 0.1%']","Jun 11, 2018",36,33,35,4,6
dotnet/arcade-pool-provider,Repository for the helix pool provider,[],"['PowerShell: 46.5%', 'Shell: 30.5%', 'C#: 19.2%', 'CMake: 3.0%', 'Batchfile: 0.8%']",,39,16,3,35,0
dotnet/project-system-tools,Tools for working with the C#/VB/F# project system.,[],"['C#: 52.7%', 'PowerShell: 27.2%', 'Shell: 17.8%', 'CMake: 1.8%', 'Batchfile: 0.5%']","Feb 2, 2022",26,29,167,5,0
dotnet/templates,Templates for .NET,[],"['PowerShell: 52.0%', 'Shell: 34.0%', 'C#: 10.3%', 'CMake: 3.4%', '\n\n\n\nOther\n0.3%\n: Other']",,233,42,91,6,0
dotnet/roslyn-sdk,Roslyn-SDK templates and Syntax Visualizer,"['sdk', 'roslyn']","['C#: 73.5%', 'PowerShell: 11.4%', 'Visual Basic .NET: 7.2%', 'Shell: 7.1%', '\n\n\n\nOther\n0.8%\n: Other']","Feb 3, 2022",36,193,359,17,11
dotnet/wcf,This repo contains the client-oriented WCF libraries that enable applications built on .NET Core to communicate with WCF services.,"['wcf', 'wcf-client']","['C#: 98.8%', 'PowerShell: 0.5%', 'Shell: 0.3%', 'C++: 0.2%', 'Batchfile: 0.1%', 'ASP.NET: 0.1%']","Feb 2, 2022",369,517,1.6k,39,55
dotnet/TorchSharp,.NET bindings for the Pytorch engine,[],"['C#: 82.7%', 'C++: 10.2%', 'C: 4.3%', 'F#: 1.2%', 'Jupyter Notebook: 0.6%', 'CMake: 0.4%', '\n\n\n\nOther\n0.6%\n: Other']","Feb 3, 2022",43,85,444,2,3
dotnet/llvm-project,Mono's patches for the LLVM repository: https://www.mono-project.com/docs/advanced/runtime/docs/llvm-backend/#the-llvm-mono-branch,[],"['C++: 45.4%', 'LLVM: 29.5%', 'C: 10.9%', 'Assembly: 10.3%', 'Python: 1.3%', 'Objective-C: 0.7%', '\n\n\n\nOther\n1.9%\n: Other']",,6,4.8k,16,40,152
dotnet/razor-compiler,"This repo houses the Razor Compiler, which is part of the .NET SDK",[],"['C#: 91.7%', 'HTML: 5.0%', 'PowerShell: 1.9%', 'Shell: 1.3%', 'CMake: 0.1%', 'Batchfile: 0.0%']",,5,7,12,7,0
dotnet/xharness,C# command line tool for running tests on Android / iOS / tvOS devices and simulators,"['android', 'ios', 'dotnet', 'tvos', 'xunit', 'mono', 'tests', 'automated-testing', 'maccatalyst']","['C#: 82.6%', 'PowerShell: 9.9%', 'Shell: 6.1%', '\n\n\n\nOther\n1.4%\n: Other']",,27,35,87,4,0
dotnet/reactive,The Reactive Extensions for .NET,[],['C#: 100.0%'],"Feb 1, 2022",279,639,5.3k,21,43
dotnet/spark,.NET for Apache® Spark™ makes Apache Spark™ easily accessible to .NET developers.,"['microsoft', 'emr', 'machine-learning', 'streaming', 'spark', 'apache-spark', 'csharp', 'fsharp', 'analytics', 'dotnet', 'azure', 'bigdata', 'spark-streaming', 'dotnet-core', 'dotnet-standard', 'databricks', 'spark-sql', 'tpcds', 'hdinsight', 'tpch']","['C#: 74.2%', 'Scala: 14.1%', 'PowerShell: 5.8%', 'Shell: 3.8%', 'Python: 1.7%', 'CMake: 0.4%']","Feb 3, 2022",81,266,1.7k,2,19
dotnet/TorchSharpExamples,Repository for TorchSharp examples and tutorials.,[],"['Jupyter Notebook: 58.0%', 'C#: 31.5%', 'F#: 10.5%']",,3,10,15,1,1
dotnet/command-line-api,"Command line parsing, invocation, and rendering of terminal output.","['parser', 'terminal', 'parsing', 'command-line', 'posix', 'dotnet-core', 'dotnet-standard', 'vt100', 'completions', 'commandlineparser', 'system-commandline', 'dotnet-suggest']","['C#: 85.8%', 'PowerShell: 8.3%', 'Shell: 5.4%', '\n\n\n\nOther\n0.5%\n: Other']","Feb 3, 2022",270,281,2.5k,5,5
dotnet/upgrade-assistant,A tool to assist developers in upgrading .NET Framework applications to .NET 6 and beyond,[],"['HTML: 51.4%', 'C#: 41.5%', 'PowerShell: 3.8%', 'Shell: 2.2%', 'Visual Basic .NET: 0.9%', 'CMake: 0.2%']","Feb 4, 2022",28,84,607,13,5
dotnet/interactive-window,Visual Studio Interactive Window,"['editor', 'interactive', 'scripting', 'visualstudio', 'interactivewindow']","['C#: 70.1%', 'PowerShell: 17.9%', 'Shell: 10.8%', 'CMake: 1.1%', 'Batchfile: 0.1%']","Jun 11, 2018",27,29,53,2,5
dotnet/AspNetDocs,Documentation for ASP.NET 4.x,[],"['C#: 42.6%', 'ASP.NET: 23.7%', 'HTML: 12.6%', 'Visual Basic .NET: 9.5%', 'JavaScript: 8.5%', 'Batchfile: 1.5%', '\n\n\n\nOther\n1.6%\n: Other']",,37,970,206,2,0
dotnet/Kerberos.NET,A Kerberos implementation built entirely in managed code.,"['csharp', 'authentication', 'active-directory', 'kerberos', 'net', 'kdc']","['C#: 98.0%', 'XSLT: 2.0%']","Oct 21, 2020",17,60,335,4,3
dotnet/arcade-extensions,,[],"['JavaScript: 82.8%', 'TypeScript: 10.3%', 'HTML: 6.4%', 'Batchfile: 0.5%']",,16,9,0,2,0
dotnet/machinelearning-modelbuilder,Simple UI tool to build custom machine learning models.,[],[],,27,27,167,5,2
dotnet/apireviews,This repository contains the notes and API differences that we reviewed.,[],[],,135,35,155,1,0
dotnet/ef6,This is the codebase for Entity Framework 6 (previously maintained at https://entityframework.codeplex.com). Entity Framework Core is maintained at https://github.com/dotnet/efcore.,"['orm', 'database', 'entity-framework', 'ef6', 'dotnet-framework', 'entity-framework-6']","['C#: 98.5%', 'PowerShell: 0.7%', 'Shell: 0.3%', 'Visual Basic .NET: 0.3%', 'Yacc: 0.2%', 'CMake: 0.0%']","Jan 31, 2022",156,515,1.3k,6,39
dotnet/cli,"The .NET Core command-line (CLI) tools, used for building .NET Core apps and libraries through your development flow (compiling, NuGet package management, running, testing, ...).",[],[],"Dec 14, 2021",388,1.1k,3.5k,50,243
dotnet/core-setup,Installer packages for the .NET Core runtime and libraries,[],[],"Dec 14, 2021",117,234,451,18,168
dotnet/runtime-assets,"Assets that are required by the runtime repository, and referenced as nuget packages.",[],"['C#: 78.5%', 'PowerShell: 10.1%', 'Shell: 6.7%', 'HTML: 1.6%', 'JavaScript: 0.9%', 'C: 0.7%', '\n\n\n\nOther\n1.5%\n: Other']",,108,44,20,4,0
dotnet/toolset,.NET Core Toolset,[],[],"Dec 14, 2021",252,61,67,18,60
dotnet/icu,Fork of https://github.com/microsoft/icu for dotnet on WebAssembly,[],"['C++: 69.5%', 'C: 24.6%', 'Java: 1.6%', 'Makefile: 1.1%', 'Python: 0.8%', 'HTML: 0.5%', '\n\n\n\nOther\n1.9%\n: Other']",,3,26,6,6,0
dotnet/websdk,MSBuild tasks and targets required for publishing ASP.NET applications,[],[],"Jun 25, 2020",39,48,84,15,24
